titles,category
 환승연애만 보고 탈퇴  떠나는  철새  이용자 티빙  광고로 잡을까,IT
     유상증자  조    억원   차입금   조원대  줄여나가겠다 ,IT
  년에   억 벌었다  일본에서 신기록 세운  웹툰 뭐길래,IT
 김정은이 진두지휘  심상찮은    호시탐탐  한국 노린다  강경주의   카페 ,IT
쿠팡이츠  배달앱  위 도약    배민 요기요   강체제 끝났다,IT
갑질로     억 과징금 불복한 구글에 법원  공정 자유 경쟁 해친다  종합 ,IT
 리뷰  무선 이어폰으로 돌아온 미키 마우스  아이리버 엠플레이어 프리 ,IT
 돌연변이 가 커피 품종마다 맛과 향 차이 만들었다,IT
리니지    시간째 먹통 엔씨소프트  빠른 조치 중 ,IT
 웨어러블로봇 잠재력 큰 시장   승인절차 돌입 ,IT
이그니스  상장 주관사로 하나증권 선정       년까지 상장예비심사 신청                 ,IT
양 많고 값싼 나트륨이온배터리 온다       년     규모,IT
 갤     예판 신기록 세울까 전작 대비      ,IT
 작년 국제 해킹공격     증가    가 북한발 ,IT
단통법 폐지 소식에  휴대폰 성지  들썩  불법 보조금  이틀 만에    만원 올랐다,IT
사전예약  불티  갤럭시    판매 신기록 전망,IT
넥슨  더 파이널스  불법 프로그램 몸살,IT
구글도 위성통신 야심 드러냈다    스페이스모바일 첫 투자,IT
총쏘는  포켓몬  닮은꼴 게임  대박  팰월드 뭐길래,IT
  홈쇼핑  양세형 시리즈 탄 갈비찜 방송 매진 이어간다,IT
주가 폭등에도  살벌한 분위기  직원     명 정리한다,IT
우주시대의 전략 요충지  라그랑주점 을 선점하라,IT
천하의 애플도 자율주행 포기 수순     애플카      년으로 출시 더 연기 ,IT
라인망가서 연거래   억엔 웹툰 나왔다 사용자수  위 등극,IT
 풍선형 우주정거장 터졌다  시에라스페이스  본격 테스트 시작  우주로 간다 ,IT
  디스플레이   분기 만에 흑자 전환  사업구조 고도화 성과 ,IT
안드로이드 강요했다     억 과징금 구글  불복했지만 패소,IT
애플  비전 프로 에 뜨거워진    헤드셋 시장  삼성  올 하반기 신제품으로 응수 나서나,IT
 이구순의 느린 걸음  단통법 폐지   후속대책이 먼저다,IT
 단독  아내에게 전화했는데 다른 사람 목소리가   는  껐다 켜라 ,IT
 나 죽거든 카톡은   본인이 직접 추모 프로필 유언 남긴다,IT
온스타일     품은  홈쇼핑 전문가  박승표    알파 새 수장으로,IT
 먼저 떠난 남편  카톡에서라도  카카오톡   추모 프로필  기능 강화,IT
넷플릭스    캐나다  베이직 요금제  폐지 광고형 힘 싣나,IT
  업계  콘텐츠 대가 감소 안돼       산정 기준 재검토해야 ,IT
연상호표 스릴러  선산   넷플릭스 글로벌 톱  올라,IT
 꿈의 신물질 초전도체  한국서 진짜 나올까   하태경  초전도기술  촉진법안 발의,IT
한 일 보다 빨랐다 대만 프롤로지움  전고체 배터리 공장 가동,IT
제 이통 주파수 경매      단통법 폐지  득일까 실일까,IT
 김정은 별동대     작년 공공해킹    는 북한  연  억    만건 ,IT
  당국  게임 규제 공지 삭제  업계  철회로 단정 짓긴 일러 ,IT
범 국가적 해킹 가능성 제기한 국정원   북    로 사이버 공격 고도화 나서 ,IT
국정원  공공기관 해킹시도   건 중  건   소행 김정은  목표 진두지휘 ,IT
갤럭시    울트라  바닥에 떨어뜨려봤더니,IT
 요고  예상과 다르네    파격 요금제  가입시 주의점은 ,IT
나트륨이온배터리    년엔 중저가 시장  주도      보다     싸질 것   소부장박대리 ,IT
내 카톡  추모 프로필  전환 여부  본인이 생전 직접 선택한다,IT
중국발 사이버 위협 피해 심각  은 외화벌이 조직까지 해킹 공격,IT
국정원  작년 국제 해킹조직 공격     급증    가 북한발 ,IT
 유료방송 수익 배분 비율 개선해야   콘텐츠 산다 ,IT
외국인 건보 무임승차 힘들어진다 피부양자 기준 강화,IT
 단독  아내에게 전화했는데 다른 사람 목소리가   는  껐다 켜라 ,IT
올해부터 수도권   개 대학병원  신규 간호사 채용 면접  같은 날 본다,IT
 이래도 안 와       세대 취향 신세계  스타필드 수원  문 연다,IT
 갤     인도에서 잘나가네 사전예약  일 만에   만대 돌파  신기록 ,IT
벌써 글로벌 흥행 예고   삼성   폰  새 역사 쓸까,IT
갤     예판    만대   올해     만대 기대,IT
유전병으로 못 걷던 쥐가 호전됐다,IT
세계 최대 핵융합 실험장치  제트  해체 돌입 부품 재활용 가능성 따진다,IT
 나 가거든 한마디 남겨주오  카톡  추모 프로필  바뀐 점은,IT
국정원  올해  슈퍼 선거의 해      사이버위협 커질 것 ,IT
갤럭시     사전예약 판매 신기록 전망 두 자릿수 증가,IT
무협  고급두뇌 유치로 인력난 골든타임 잡아야 ,IT
제 이동통신 초읽기   회의론은 여전,IT
스마일게이트   전지적 독자 시점  영화화에 첫 투자    이민호 등 캐스팅 확정,IT
삼성  비침습 혈당 측정 기술 개발 중  애플과 헬스케어 경쟁,IT
국정원  북한  가상자산 동호회 회원정보 해킹 수억원 탈취해 ,IT
김홍일 방통위원장  조속히  인 체제 희망 국회 도와달라 ,IT
 무조건 할인 먹혔다  쿠팡이츠  요기요 제치고  배달앱  위 ,IT
생명연  유전성 하지마비 쥐 걷게 하는 유전자치료제 개발 ,IT
제 이통       주파수 경매     최종 낙찰가  주목 ,IT
국내 공공 사이버위협    가      선거철 노린다,IT
해외 부진에 직면한   게임  규제안 공지 결국 삭제,IT
